ID;Title;Date;Content
783;Computer Threats Increase - Public Warning;2011-04-25;Vast Press has been informed that a new significant threat exists for homes and business users of computers. The increased threat of a particular set of worms and viruses was revealed by Special Agent Richard Gill of the Secret Service Cyber Security Division.At press time there is no published fix. For now, it is up to the computer users to patch their systems as a defense. Once a fix is obtained Vast Press will release the information to all medial outlets for distribution to the public.
790;Antiterrorist Plan Is Unveiled To Assure Safe Air Travel;2011-05-19;The Codi administration, seeking to assure travelers that it is moving aggressively to keep air travel safe, announced controversial plans to uncover terrorists by profiling airline passengers and pumping $300 million into high-tech bomb-detection equipment. Although federal investigators haven't settled on a cause of the March 29, 2011 of a Antarctica Airlines jet over the Atlantic, the catastrophe sent the administration scurrying to improve aviation safety and security. ``It is clear that the terrorist attacks ... represent an attack on the United States of America. There is clearly a national interest here,'' said Vice President Albert Webber, who is leading the Aviation Safety and Security Commission that unveiled recommendations it will submit on Monday to President Codi. Mr. Codi established the commission days after the the Antarctica Airlines flight explosion. Civil-Rights Issues Is Raised The American Civil Liberties Union immediately took issue with the notion of passenger profiling, raising concerns that aviation security personnel will be targeting passengers based on nationality, race and religion. ``At a ticket counter, airplane passengers check their baggage, not their rights,'' ACLU legislative counsel Gretchen Blalock warned at a hearing before the commission. Mr. Webber acknowledged that there is a line aviation security officials would have to be careful not to cross, or they would violating passengers' rights. The decision to request additional federal funding for new security systems represents a victory for airline and airport interests that have lobbied hard against footing the bill. On Monday, the administration plans to submit a $300 million supplemental budget request to Congress to buy advanced bomb-detection systems that have been installed in only a couple of airports. Airlines and airports have fought paying for these machines, slowing their introduction to airports. Commission officials briefed Republican lawmakers Thursday after the hearing and indicated that they expected support for their legislative proposal. Looking at Airline Employees The commission recommended that airports assess the vulnerability of their security systems and develop better screening methods for airline and airport employees, as well as passengers, to identify potential terrorists. Mr. Webber said the commission is also recommending additional funding for bomb-sniffing dogs. Under the proposed plan, the government would install advanced bomb-detection systems that can spot plastic explosives at more than 50 of the country's busiest airports. The commission also is recommending spending $100 million -- split evenly between the government and industry -- for research and development of newer bomb-detection systems. The rush to put new machines into airports is expected to mean a boom for companies such as InVision Technologies Inc., a Foster City, Calif., company that sells $900,000 scanners, and Thermedics Inc., a Woburn, Mass., company that produces detection systems with electronic ``sniffers'' that track plastic explosives. Some evidence of plastic-explosive material has been found on wreckage from the Antarctica Airlines explosion, which killed all 230 passengers and crew members. Among the more controversial of its recommendations, the commission blessed the creation of computer systems that track passengers' travel patterns for any suspicious movements that could be matched with information about terrorist activities from intelligence and law-enforcement agencies. More Delays for Customers The plan could mean further delays and hassles for customers. The commission recommended using profiling to decide whether certain passengers' bags should be pulled for further examination using the sophisticated bomb-detection systems. Some of the systems are so time-consuming that it could take hours to inspect all the bags on any one flight. The commission also recommended that airports implement ``full baggage match'' programs to ship baggage only if the baggage's owner has boarded the flight. While this policy is basically in place on international flights it hasn't been fully implemented and sometimes misses bags that are transferred between airlines. Carolann Gillard, president of the Air Transport Association, a lobbying group that includes 22 airlines including the country's major carriers, said airlines support a profiling system and new bomb-detection systems as long as the government pays for the devices. ``Terrorism has come to our shores,'' she said, adding that a strike against a U.S. airline constitutes a hit against the country's national security.
878;FBI Investigates Mayor Lark;2011-05-20;Reliable sources report that the Federal Bureau of Investigation is investigating Mayor Douglas Lark. The mayor, we were told, has been implicated with Christopher Quick and Brandi Spann who were previously arrested for their participation in a money laundering scheme here in Vastopolis. Vastpress is open to any contributing comment from the public relative to this event. Is this a conspiratorial attack on our mayor? Or is there evidence to support the basis for FBI activity? How far does this go?
926;Library Computer Theft;2011-04-10;Vastopolis - Today there was a robbery reported at the Vastopolis Libraby in Uptown. A room full of computers was found missing at the library. Librarians have said that there was no type of surveillance system in the room with computers, seeing as how the library has never experienced a robbery of this kind before. Librarians were shocked that so many computers were stolen with no one noticing. The evidence suggests there may have been more than one thief. The scene was also vandalized by the thieves. The letter ``F'' was written all over the walls of the room that contained the computers. This vandalism suggests that this may have been the work of some group. All of the questioned librarians have said that they saw no one who looked suspicious during the course of the day. Officials are unsure what group this criminal act may be associated with at this time and unsure as to what they may plan to do with the stolen computers.
1030;Deadly Collision Causes Major Backup;2011-05-17;Vastopolis has suffered another serious accident on the bridge crossing the Vast River on Interstate 610. Both drivers are deceased. The on-scene officer in charge reported that it appears the northbound truck driver may have fallen asleep to force the 18 wheeler into the oncoming lane. There, another 18 wheeler was struck. There was no escape for the drivers since the reaction time for braking was non-existent at high speed. Compounding the event, one of the trucks carrying chemicals caught fire after a minor explosion. Both trucks were destroyed including the other one carrying food products. Even though the accident occurred early, the cleanup of debris on the road and in the water below will take most of the day. Traffic was backed up for miles and was being diverted by state police. Identity of the drivers will be released after notification of kin.
1038;Dead Fish Reported in River;2011-05-19;Reports of large accumulations of dead fish washing on shore have been received. The area of concern is along the Vast River near Westside and Plainville in Vastopolis. Resident fishermen have also reported the sightings and complain that the fish have ``stopped biting''. While dead fish have been found on shore, they have not been seen in this quantity. One of the fisherman even reported that the smell and feel of the fish was different and wondered out loud, ``Something is wrong here.''
1088;Entended Training for ``Dirty Bombs'' Initiated;2011-04-10;Police Commissioner Jacob Lucio announced that Vastopolis would conduct dirty bomb training exercises in June. These exercises would include not just the police department, but also every emergency service. The exercises would be carried out so that if such an event occurs, the public can feel just a bit safer knowing emergency management teams are ready for action. Lucio said that in June some roads may be blocked off for the training, but detours will always be put up for people to find their way around. Lucio believes that these exercises will be for the greater good of the public. The Police Commissioner said these exercises have become necessary in modern times. He stated that years ago there wasn't much to worry about with this kind of stuff, but with terrorist groups nowadays everyone needs to be prepared. Lucio said that schools would go through drills as well so the children would be ready, as the schools can be considered targets for terrorist groups. Police Commissioner Lucio assured the public today that these drills should cause very little interruption to everyone's daily lives.
1243;Suspicious Turkey Found with Man at Airport;2011-05-14;Transportation Safety Administration members at the Vastopolis airport coordinated with security personnel to detain a man carrying a frozen turkey. This picture was bad enough, but this turkey (not the man) had wires coming out of it. Official Jerry Loudermilk of the TSA indicated that he did not know what to think. But, whether it was a bomb or a sick joke, they are required to treat the package as a bomb pending further verification. The man carrying the turkey was on his way to the west coast. His identification is being verified. Loudermilk noted that he could have tried to check the turkey in with his baggage. But we are happy he tried to get it through the terminal check point. We are not sure about this individual and his state of mind but he is being questioned at the present time. Loudermilk stated that no other delay within the airport was set into motion except one. The flight of the intended aircraft will be delayed to verify none of his baggage is in the cargo hold. If all baggage cannot be accounted for, we will have to inspect the entire cargo again and that will cause a serious delay for the flight. More to come on the case of the suspicious turkey.
1248;Sudden Tragedy Shakes Antarctica Airlines At a Time of Seeming Recovery;2011-03-31;The explosion of its New York-to-Paris flight Wednesday night ended a yearlong celebration at Antarctica Airlines. Only hours earlier, the carrier had announced that second-quarter profit had quadrupled, to $25.3 million. Passenger traffic was increasing. Its stockpile of cash was growing. It was talking of leasing new planes and adding new flights. Indeed, the troubles that twice this decade had sent it to bankruptcy court appeared to be history. Now, as investigators try to determine what destroyed Flight 256, a peripheral question focuses on what impact the tragedy will have on Antarctica Airlines, the nation's seventh-largest airline. Airlines generally survive their planes' crashes. Although Pan American World Airways went out of business three years after the infamous bombing of its Flight 566 over Scotland, it had a host of other problems that were exacerbated by that crash and a consequent decline in passenger traffic. Indeed, industry statistics show that a major crash scares away passengers for only 90 days. And during that time the effect is to drive down load factor, or the percentage of seats filled, only a point or two below industry average. Federal officials say they don't yet know what caused the crash. But if the destruction of the Antarctica Airlines flight should turn out to be attributable to a bomb, the consequences could be grim for the entire industry. At the height of the Persian Gulf War, when travelers worried about terrorism, international traffic fell more than 20%. ``If the Antarctica Airlines accident is found to be a terrorist act, all flight activity will have a bogey on its back,'' said Khalilah Bambi, an airline stock analyst for Morgan Stanley. Many Americans could flock to foreign airlines that aren't perceived to be a target of terrorists. And that would hurt no carrier more than Antarctica Airlines because international travel accounts for a much larger percentage of its passengers than at other major U.S. airlines. If, on the other hand, the explosion of Flight 256 was caused by a maintenance problem, passenger confidence in Antarctica Airlines could be badly damaged. Consumers' confidence was already hurt by ValuJet Airlines' crash, which precipitated an investigation of its maintenance procedures and led to the shutdown of the low-cost airline. (ValuJet hopes to restart operations.) If maintenance problems were to be implicated in the Antarctica Airlines crash, public attention would more likely become fixated on the fact that Antarctica Airlines's 190-jet fleet is among the oldest in the industry, with an average age of more than 18.5 years. The 747-100 that blew up Wednesday was 25 years old, though reports filed with the Federal Aviation Administration don't appear to reveal any extraordinary mechanical problems. But unlike ValuJet, which contracted out much of its maintenance work, Antarctica Airlines performs its own at bases in New York, St. Louis and Kansas City, Mo.. Even during its stints in bankruptcy court. it maintained a reputation for top-notch maintenance, prompting start-up carriers such as Vanguard Airlines to purchase maintenance service from Antarctica Airlines. Antarctica Airlines's nascent recovery required creative financial solutions. To renegotiate $190 million in loans owed to former Antarctica Airlines Chairman Carlee Sain, the airline struck a deal to provide the financier with millions of dollars worth of Antarctica Airlines tickets he could purchase over several years at a discount, and then resell. (The two are still debating specifics of the contract terms, however.) The company has also managed to significantly reduce its debt and to raise money with additional stock offerings to the public. At the same time, Antarctica Airlines has restructured its routes to take better advantage of its hubs in St. Louis and New York. Antarctica Airlines's maneuvering has kept the carrier gliding long enough to get a big lift from the broad airline-industry recovery that began last year. Airlines have been the beneficiaries of a strong economy and a busy summer vacation season. But the crash will clearly test the mettle of Antarctica Airlines's chief executive, Jena Rios. Already, his airline's top management has come under fire for failing to quickly notify the families of passengers on board. In composite trading on the American Stock Exchange Thursday, Antarctica Airlines's stock fell 8.9%, or $1, to $10.25. Other airline stocks fell, out of sync with a broader market upsurge. The crash has devastated the morale of a work force that owns nearly 30% of the airline. At the St. Louis union hall of the Independent Federation of Flight Attendants, secretary-treasurer Barton Barr said he feared that Flight 256 carried not only the 14 flight attendants working it but also a ride-along crew of 14. ``It's still too new, too early, to comprehend the gravity,'' he said, his eyes welling with tears.
1482;Local Gang Kidnaps Mayor's Dog;2011-05-03;Downtown Mayor Douglas Lark's dog was found today after being kidnapped. The dog came back a lot more cold then how it left. The dog was kidnapped and then shaved completely, as part of what appears to be some sort of sick plot. Agents have come to discover it was three individuals from Forever Brotherhood of Antarctica. The three individuals have been identified as Landon Ito, Louise Tu, and Maximo Ladner. They are dangerous and should be reported to authorities immediately if spotted around the Downtown area. The good news is at least that the dog was returned safely. It is unclear what kind of message the Forever Brotherhood of Antarctica was trying to send to Mayor Douglas Lark. Judging by the stupid group name, they must be all crazy. Mayor Lark said he would safeguard his dog from now on. Mayor Douglas refused to answer any further questions.
1565;FBI's Kallstrom Is the Bulldog At Front of Antarctica Airlines Crash Probe;2011-04-04;"N.Y. -- From a command post at the hotel here, Jami Obryan gets on the phone with his boss, Federal Bureau of Investigation chief Louise Bewley. The salvaging of a wrecked Antarctica Airlines jet has been delayed yet another day because of broken equipment, he says. Can Mr. Bewley call the Defense Department to shake new equipment loose? ``He's going to kick some butt,'' Mr. Obryan says after hanging up. Mr. Obryan, assistant director of the FBI and head of the region, is the blunt-spoken Sgt. Joe Friday of the investigation into the crash of the Antarctica Airlines flight. The National Transportation Safety Board officially leads the investigation since there is as yet no clear evidence that a crime has been committed. But the 53-year-old Mr. Obryan is calling many of the shots. Asked about the safety board, Mr. Obryan rolls his eyes. ``They want to reassemble the plane,'' he says. Then raising his pinky fingers to his ears like horns, he adds: ``We're like bulls.'' Mr. Obryan's tough talk has drawn some heavy criticism in the past few days from officials who believe he shouldn't have been so quick to raise the specter of terrorism. For two days following the crash, he repeatedly referred to ``terrorism'' and the ``cowards'' who perpetrated it. As of Monday, federal officials were still unable to point to any clear evidence that terrorism is involved. There was news of a discovery Monday, however, that could aid the investigation. During a memorial service, Mr. Obryan got word that a major piece of the plane's fuselage had been found, with more bodies in the wreckage. He whispered the news to Gov. Georgeanna Honey, who then announced it at the memorial service. Investigators said six bodies were recovered. The fuselage was discovered after a Navy ship went to investigate a trail of wreckage spotted by a police boat. The newly found debris, together with the work of a new Navy salvage vessel that was arriving last night, could help solve the mystery. Mr. Obryan isn't waiting. Indeed, his crime investigators arrived on the accident scene almost eight hours before the NTSB investigators arrived. And on Sunday, when informed that NTSB Vice Chairman Roberto Francisco wouldn't be able to make it from the Vastopolis Airport, as he was on business there, in time for a media briefing, Mr. Obryan barked: ``I've got a Gd helicopter. I can go get him.'' The affable Mr. Francisco, 58 years old, seems to take all of this in stride. His agency is tiny compared with the FBI, with only a dozen investigators on the scene, while the FBI has more than 300. He said he was flattered when Mr. Obryan referred to him as ``partner'' at one briefing. ``Look, we need him,'' Mr. Francisco says. Says another safety board investigator: ``We're nothing compared to them.'' Mr. Obryan has long warned of the dangers of terrorism. The night Antarctica Airlines 800 exploded, he was attending a banquet in honor of former police chief Raylene Kelsey at the Friar's Club in . Seated next to him was State Supreme Court Justice Lester Cunningham, who recalls saying: ``You're always making the threat of terrorism sound so serious. What do you think is happening? We haven't heard much lately.'' Shortly after he left the dinner, he was paged with news of the crash. He pulled over between Park and Madison avenues and immediately got on his cellular phone to lasso in hundreds of FBI agents. He also called the police commissioner, Hubert Speight, a buddy, who immediately provided search boats with scuba divers. Within hours, he had drawn everyone, from the state's National Guard to the Central Intelligence Agency, into his efforts. ``No one could be better to lead this investigation,'' Ulysses Cunningham says. He's not ``a glad-handing, political B.S.-er,'' she adds. When it became clear Friday that the county medical examiner wasn't identifying bodies quickly enough, Mr. Obryan huddled with Mr. Honey to scheme how to prod the examiner to accept outside help. Mr. Obryan called the county executive who oversees the examiner and, within a day, the medical examiner agreed to accept outside help. Says Mr. Obryan: ``I'm directing the investigation ... everything but the recovery of the plane.'' He says: ``We're like: Can do. Like, now.'' Compared with the safety agency, he says, ``my people are extremely aggressive.'' Even though Mr. Francisco opens most news briefings, Mr. Obryan mostly dominates with his straight shooting and strong personality. Mr. Francisco stands politely to the side. Mr. Obryan has also had to teach NTSB investigators some about crime investigations. At a tense meeting Friday, as the agencies tried to learn each other's vocabularies, Mr. Obryan told Mr. Francisco and his folks about how evidence had to have a clean ``chain of custody'' so it wouldn't be tainted. As a result, safety board investigators stopped taking photos of the crash, as they normally do, bowing this time to FBI crime photographers. Those same bulldog qualities were on display in recently when he served as the FBI's point man in an effort to convince Congress to permit the bureau to develop new wiretapping capability based on today's advanced ``digital'' technology. The telephone industry fought Mr. Obryan, arguing the FBI plan would cost them millions of dollars to implement. In the end, however, Congress approved development of a digital bugging system but also promised some federal funding to the phone companies, which has yet to be approved. The son of a big-band trumpet musician and a nurse, Mr. Obryan has a thick accent from his days growing up inMass.; he speaks bluntly and occasionally wears dark sunglasses. Born in 1943, Mr. Obryan grew up in a lower-middle class family, working his way through the University of Massachusetts in as a cook at the Kappa Kappa Gamma sorority, a flower deliveryman and summer rent-a-cop at Mass.. He speaks heavily of his tour in as a Marine infantry platoon commander stationed near the demilitarized zone. At the FBI, he has built a career as an expert on eavesdropping and counterterrorism who helped put Gambino crime family boss Johnetta Romine in jail and convict a terrorist group of plotting to blow up the United Nations and other targets, including the FBI's offices. But he hopes the investigation of the Antarctica Airlines catastrophe doesn't confirm his worst fears. Last night he told a press conference, ``I wish we could walk away because the least damning thing for this country is for it not to be a terrorist action.''"
1594;Vehicle Downtown Checked for Bomb Threat;2011-05-07;Local merchants called police following suspicions of a truck with out-of-state license plates parked near them for several days. The truck was spray-painted with graffiti with one tire flat. There were 4 black 50 gallon barrels observed inside the vehicle. As a precaution, the police bomb squad was dispatched to verify the contents of the cargo. Police Commissioner Jacob Lucio said that this was merely a police procedure without elaborating the need for the bomb squad in the first place. Since the Commissioner denied any findings, the truck was taken away by the city.
